#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 43728at6656          -            431  7.1e-195  645.4  13.9   1   1  2.2e-194  5.1e-193  639.3  13.9     3   431    45   550    43   550 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   1.6e-37  126.9  10.4   1   5   2.8e-09   6.4e-08   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   1.6e-37  126.9  10.4   2   5   4.7e-10   1.1e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   1.6e-37  126.9  10.4   3   5   3.2e-08   7.4e-07   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   1.6e-37  126.9  10.4   4   5     6e-06   0.00014   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   1.6e-37  126.9  10.4   5   5   2.8e-16   6.5e-15   52.4   0.1   316   426   175   287   167   289 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   4.2e-32  109.0   2.7   1   7   3.9e-08   8.9e-07   25.6   0.0   169   210    96   137    89   146 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   4.2e-32  109.0   2.7   2   7   1.2e-05   0.00028   17.4   0.3   172   216   141   187   137   205 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   4.2e-32  109.0   2.7   3   7    0.0087       0.2    8.0   0.1   396   430   182   222   175   223 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   4.2e-32  109.0   2.7   4   7   6.3e-06   0.00014   18.3   0.1   374   430   209   263   199   265 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   4.2e-32  109.0   2.7   5   7    0.0011     0.024   11.0   0.1   169   216   230   277   224   282 0.75 -
