#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117586at6656_7004_0:0028f3|TRINITY_DN72266_c12_g1_i6:154-1347|-   -            398 117586at6656         -            306  4.6e-122  406.1  10.7   1   1  6.8e-121  1.9e-118  394.2  10.7     2   305    25   391    24   392 0.88 -
117586at6656_126957_0:00077b|TRINITY_DN72266_c12_g1_i2:156-1001|- -            282 117586at6656         -            306   3.7e-75  252.0   7.9   1   2   8.3e-30   2.3e-27   95.0   0.1     2    66    20    88    19    91 0.93 -
117586at6656_126957_0:00077b|TRINITY_DN72266_c12_g1_i2:156-1001|- -            282 117586at6656         -            306   3.7e-75  252.0   7.9   2   2   1.2e-47   3.4e-45  153.6   3.4    60   208    96   281    90   282 0.87 -
117586at6656_6850_0:0042b4|TRINITY_DN72266_c12_g1_i1:159-818|-    -            220 117586at6656         -            306   5.9e-50  169.2   7.2   1   2   0.00049      0.14   10.4   0.1    44    66     1    27     1    30 0.85 -
117586at6656_6850_0:0042b4|TRINITY_DN72266_c12_g1_i1:159-818|-    -            220 117586at6656         -            306   5.9e-50  169.2   7.2   2   2   7.6e-48   2.1e-45  154.3   3.6    60   208    35   220    29   220 0.87 -
117586at6656_121225_0:0005da|TRINITY_DN72266_c12_g1_i7:158-556|-  -            133 117586at6656         -            306   3.5e-32  110.8   9.4   1   1   2.6e-32   7.4e-30  103.2   9.3     2    87    10   116     9   124 0.84 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i11:974-1924|+  -            317 117586at6656         -            306   9.1e-13   47.1  17.0   1   2   0.00047      0.13   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i11:974-1924|+  -            317 117586at6656         -            306   9.1e-13   47.1  17.0   2   2   1.4e-13     4e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i12:1053-2003|+ -            317 117586at6656         -            306   9.1e-13   47.1  17.0   1   2   0.00047      0.13   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i12:1053-2003|+ -            317 117586at6656         -            306   9.1e-13   47.1  17.0   2   2   1.4e-13     4e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i4:991-1941|+   -            317 117586at6656         -            306   9.1e-13   47.1  17.0   1   2   0.00047      0.13   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i4:991-1941|+   -            317 117586at6656         -            306   9.1e-13   47.1  17.0   2   2   1.4e-13     4e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i6:1053-2003|+  -            317 117586at6656         -            306   9.1e-13   47.1  17.0   1   2   0.00047      0.13   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i6:1053-2003|+  -            317 117586at6656         -            306   9.1e-13   47.1  17.0   2   2   1.4e-13     4e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i7:599-1549|+   -            317 117586at6656         -            306   9.1e-13   47.1  17.0   1   2   0.00047      0.13   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i7:599-1549|+   -            317 117586at6656         -            306   9.1e-13   47.1  17.0   2   2   1.4e-13     4e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i8:1053-2003|+  -            317 117586at6656         -            306   9.1e-13   47.1  17.0   1   2   0.00047      0.13   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i8:1053-2003|+  -            317 117586at6656         -            306   9.1e-13   47.1  17.0   2   2   1.4e-13     4e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i10:335-979|+   -            215 117586at6656         -            306   1.7e-11   42.9   1.1   1   2     0.015       4.2    5.5   0.0    67   124     8    65     3    95 0.63 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i10:335-979|+   -            215 117586at6656         -            306   1.7e-11   42.9   1.1   2   2   5.4e-12   1.5e-09   36.5   0.2   209   289   128   212   110   215 0.77 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i12:335-979|+   -            215 117586at6656         -            306   1.7e-11   42.9   1.1   1   2     0.015       4.2    5.5   0.0    67   124     8    65     3    95 0.63 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i12:335-979|+   -            215 117586at6656         -            306   1.7e-11   42.9   1.1   2   2   5.4e-12   1.5e-09   36.5   0.2   209   289   128   212   110   215 0.77 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i13:335-979|+   -            215 117586at6656         -            306   1.7e-11   42.9   1.1   1   2     0.015       4.2    5.5   0.0    67   124     8    65     3    95 0.63 -
