#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
149126at6656_294128_0:001db6|TRINITY_DN73490_c12_g1_i1:974-1852|- -            293 149126at6656         -            204   1.8e-54  181.4   0.1   1   1   2.3e-55   9.9e-53  175.7   0.1     1   196     2   244     2   248 0.83 -
63193at6656_168631_0:002082|TRINITY_DN88056_c14_g3_i2:600-1019|-  -            140 149126at6656         -            204   2.9e-05   20.6   0.0   1   1   8.9e-08   3.9e-05   20.3   0.0    98   192    15   115    12   126 0.79 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+  -            297 149126at6656         -            204   0.00012   18.6   0.0   1   2   1.7e-06   0.00074   16.1   0.0    99   196    15   115    10   117 0.80 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+  -            297 149126at6656         -            204   0.00012   18.6   0.0   2   2      0.16        69   -0.1   0.0    75   113   217   250   211   265 0.75 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+    -            351 149126at6656         -            204    0.0057   13.2   0.0   1   3     0.065        28    1.1   0.0   100   129    19    48    16    59 0.86 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+    -            351 149126at6656         -            204    0.0057   13.2   0.0   2   3   0.00038      0.17    8.4   0.0    93   127   137   171   128   235 0.76 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+    -            351 149126at6656         -            204    0.0057   13.2   0.0   3   3      0.32   1.4e+02   -1.1   0.0    98   124   265   291   250   351 0.62 -
63193at6656_74869_0:000da1|TRINITY_DN83493_c3_g1_i3:101-610|+     -            170 149126at6656         -            204    0.0058   13.2   0.0   1   1   1.9e-05    0.0084   12.6   0.0   100   175    21   107     3   124 0.79 -
63193at6656_104452_0:000511|TRINITY_DN92669_c11_g2_i3:420-842|+   -            141 149126at6656         -            204    0.0078   12.7   0.0   1   1   2.8e-05     0.012   12.1   0.0    70   124     3    53     2   127 0.69 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i4:133-438|+    -            102 149126at6656         -            204     0.024   11.1   0.0   1   1   6.6e-05     0.029   10.9   0.0    98   173    15    97    12   100 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/149126at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/149126at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/149126at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:07 2026
# [ok]
