#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 266808at33208        -            354  6.4e-167  552.2   0.9   1   1  1.3e-165  2.8e-164  543.5   0.9     2   354     4   418     3   418 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 266808at33208        -            354   4.7e-39  131.6   0.2   1   2   1.5e-15   3.2e-14   50.0   0.1   103   217    10   128     1   134 0.85 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 266808at33208        -            354   4.7e-39  131.6   0.2   2   2   7.3e-27   1.6e-25   87.1   0.0    57   255    98   290    96   292 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 266808at33208        -            354   7.4e-38  127.7   7.9   1   3   4.6e-11   9.9e-10   35.2   0.9   193   274     3    82     1    86 0.88 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 266808at33208        -            354   7.4e-38  127.7   7.9   2   3   4.9e-25   1.1e-23   81.1   0.2   153   277    84   212    82   223 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 266808at33208        -            354   7.4e-38  127.7   7.9   3   3    0.0006     0.013   11.8   0.1    72   136   226   285   213   288 0.68 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 266808at33208        -            354   2.5e-30  102.9   6.2   1   4   3.4e-15   7.5e-14   48.7   0.1   166   275    79   190    59   195 0.86 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 266808at33208        -            354   2.5e-30  102.9   6.2   2   4   0.00013    0.0027   14.0   0.0   137   262   396   534   361   541 0.74 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 266808at33208        -            354   2.5e-30  102.9   6.2   3   4   2.3e-10     5e-09   32.9   0.2   146   263   554   675   544   683 0.85 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 266808at33208        -            354   2.5e-30  102.9   6.2   4   4    0.0019      0.04   10.2   0.0   307   353   671   716   669   717 0.87 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 266808at33208        -            354   8.6e-30  101.2   3.6   1   2   3.6e-15   7.8e-14   48.7   0.2    88   227    28   166    13   171 0.85 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 266808at33208        -            354   8.6e-30  101.2   3.6   2   2   8.3e-19   1.8e-17   60.6   0.5   105   268    86   246    82   256 0.81 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 266808at33208        -            354   9.5e-28   94.4   2.1   1   4    0.0019     0.042   10.1   0.1   175   250    55   124    24   158 0.65 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 266808at33208        -            354   9.5e-28   94.4   2.1   2   4   2.1e-14   4.7e-13   46.1   0.0   153   346   153   347   135   354 0.77 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 266808at33208        -            354   9.5e-28   94.4   2.1   3   4      0.15       3.2    3.9   0.0   195   259   331   392   286   413 0.73 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 266808at33208        -            354   9.5e-28   94.4   2.1   4   4   4.3e-11   9.3e-10   35.3   0.1   124   262   461   604   456   605 0.83 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 266808at33208        -            354     3e-26   89.5   0.7   1   3   2.8e-12   6.2e-11   39.1   0.0   102   272    48   221    44   226 0.85 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 266808at33208        -            354     3e-26   89.5   0.7   2   3     2e-12   4.3e-11   39.6   0.1   106   273    95   268    94   275 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 266808at33208        -            354     3e-26   89.5   0.7   3   3   3.5e-07   7.6e-06   22.4   0.0   152   262   224   345   218   346 0.78 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 266808at33208        -            354   3.7e-26   89.2   6.4   1   3   1.4e-24   2.9e-23   79.7   1.5   155   274     8   130     5   135 0.90 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 266808at33208        -            354   3.7e-26   89.2   6.4   2   3    0.0085      0.18    8.0   0.1   193   229   135   171   130   187 0.81 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 266808at33208        -            354   3.7e-26   89.2   6.4   3   3       1.3        28    0.8   0.0   121   134   206   219   192   220 0.86 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 266808at33208        -            354   2.6e-25   86.4   0.1   1   3   3.3e-15   7.1e-14   48.8   0.3   193   351   166   315   161   318 0.86 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 266808at33208        -            354   2.6e-25   86.4   0.1   2   3   6.6e-10   1.4e-08   31.4   0.0   199   351   256   397   247   400 0.83 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 266808at33208        -            354   2.6e-25   86.4   0.1   3   3   6.8e-06   0.00015   18.2   0.0    51   182   322   450   316   462 0.79 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 266808at33208        -            354   5.4e-25   85.4   0.1   1   2   5.8e-22   1.3e-20   71.0   0.0    96   264    69   241    47   247 0.85 -
