#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
131276at6656_411798_0:001c7a|TRINITY_DN90162_c4_g1_i1:0-587|+      -            196 131276at6656         -            173   7.8e-47  158.7   1.6   1   1   2.6e-49   1.3e-46  157.9   1.6    29   108    98   177    93   187 0.94 -
131276at6656_218467_0:001784|TRINITY_DN90162_c4_g2_i1:749-997|-    -             83 131276at6656         -            173   1.6e-26   92.6   0.3   1   1   3.6e-29   1.9e-26   92.3   0.3   102   173     6    82     2    82 0.94 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i10:2501-2845|- -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i10:2501-2845|- -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i11:2501-2845|- -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i11:2501-2845|- -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i12:2501-2845|- -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i12:2501-2845|- -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i1:691-1035|-   -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i1:691-1035|-   -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i2:1691-2035|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i2:1691-2035|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i3:1691-2035|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i3:1691-2035|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i4:2501-2845|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i4:2501-2845|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i7:1691-2035|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   1   2   6.7e-12   3.5e-09   36.1   1.2    33    64     1    32     1    52 0.88 -
14447at6656_144034_0:000848|TRINITY_DN92657_c11_g2_i7:1691-2035|-  -            115 131276at6656         -            173   2.1e-16   59.6   5.2   2   2   1.1e-08   5.5e-06   25.7   0.2    26    64    66   104    53   113 0.82 -
131276at6656_7536_0:001d04|TRINITY_DN85428_c4_g2_i1:1336-1626|+    -             97 131276at6656         -            173   4.4e-15   55.3   0.7   1   1   2.8e-17   1.4e-14   53.6   0.7    31   100     9    91     3    97 0.80 -
131276at6656_7536_0:001d04|TRINITY_DN85428_c4_g2_i2:1336-1626|+    -             97 131276at6656         -            173   4.4e-15   55.3   0.7   1   1   2.8e-17   1.4e-14   53.6   0.7    31   100     9    91     3    97 0.80 -
14447at6656_114398_0:0044f9|TRINITY_DN82246_c11_g1_i2:95-2773|+    -            893 131276at6656         -            173     1e-11   44.4   0.5   1   1   8.8e-14   4.5e-11   42.3   0.5    29    99     6    88     2   144 0.83 -
14447at6656_114398_0:0044f9|TRINITY_DN82246_c11_g1_i4:95-3750|+    -           1175 131276at6656         -            173   1.8e-11   43.6   0.5   1   1   1.3e-13   6.5e-11   41.7   0.5    29    99     6    88     2   145 0.83 -
14447at6656_38123_0:001218|TRINITY_DN92657_c11_g2_i14:676-819|-    -             48 131276at6656         -            173   1.9e-08   33.7   0.1   1   1   4.1e-11   2.1e-08   33.6   0.1    33    74     1    48     1    48 0.96 -
14447at6656_38123_0:001218|TRINITY_DN92657_c11_g2_i5:2486-2629|-   -             48 131276at6656         -            173   1.9e-08   33.7   0.1   1   1   4.1e-11   2.1e-08   33.6   0.1    33    74     1    48     1    48 0.96 -
14447at6656_38123_0:001218|TRINITY_DN92657_c11_g2_i6:1676-1819|-   -             48 131276at6656         -            173   1.9e-08   33.7   0.1   1   1   4.1e-11   2.1e-08   33.6   0.1    33    74     1    48     1    48 0.96 -
14447at6656_38123_0:001218|TRINITY_DN92657_c11_g2_i13:2330-2503|-  -             58 131276at6656         -            173     2e-07   30.4   0.0   1   1   3.9e-10     2e-07   30.4   0.0    34    63     1    30     1    52 0.90 -
131276at6656_1629725_0:0012ca|TRINITY_DN90162_c4_g3_i1:56-388|-    -            111 131276at6656         -            173   1.4e-05   24.3   0.0   1   1   3.2e-08   1.7e-05   24.1   0.0     2    27    12    37    11    70 0.92 -
14447at6656_38123_0:001218|TRINITY_DN71868_c14_g2_i1:238-372|+     -             45 131276at6656         -            173   0.00052   19.3   0.1   1   1     1e-06   0.00052   19.3   0.1    33    61     6    34     1    41 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/131276at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/131276at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/131276at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:46 2026
# [ok]
