#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 81307at6656          -            284  1.7e-125  415.4  14.4   1   1    9e-127    2e-125  415.2  14.4     1   284     4   321     4   321 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 81307at6656          -            284   1.6e-39  133.4   6.1   1   2   1.8e-28   3.9e-27   92.7   3.4    37   198     2   162     1   170 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 81307at6656          -            284   1.6e-39  133.4   6.1   2   2     6e-13   1.3e-11   41.7   0.0    37   150   171   288   164   289 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 81307at6656          -            284   3.5e-39  132.2   1.2   1   4   3.7e-05   0.00082   16.2   0.0    75   115    94   134    81   141 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 81307at6656          -            284   3.5e-39  132.2   1.2   2   4   1.6e-22   3.6e-21   73.1   0.3     1   185    98   294    98   329 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 81307at6656          -            284   3.5e-39  132.2   1.2   3   4      0.34       7.5    3.1   0.0   180   199   332   351   323   359 0.83 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 81307at6656          -            284   3.5e-39  132.2   1.2   4   4   9.4e-16   2.1e-14   50.9   0.0    19   106   335   427   332   429 0.83 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 81307at6656          -            284   8.2e-38  127.7   1.1   1   2   1.2e-14   2.6e-13   47.3   0.1    38   113     1    75     1    83 0.93 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 81307at6656          -            284   8.2e-38  127.7   1.1   2   2   1.6e-24   3.5e-23   79.7   0.1    37   193    84   239    75   243 0.92 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 81307at6656          -            284   2.1e-35  119.8   7.4   1   2   3.6e-23   8.1e-22   75.2   1.2     9   179     3   178     1   179 0.85 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 81307at6656          -            284   2.1e-35  119.8   7.4   2   2   3.8e-17   8.5e-16   55.5   0.6    37   151   165   281   150   282 0.92 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 81307at6656          -            284   1.4e-34  117.1   9.2   1   3   8.5e-06   0.00019   18.2   0.0    79   117     1    39     1    52 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 81307at6656          -            284   1.4e-34  117.1   9.2   2   3     6e-19   1.3e-17   61.4   2.1    40   198    60   215    48   237 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 81307at6656          -            284   1.4e-34  117.1   9.2   3   3   1.2e-12   2.7e-11   40.7   0.6    56   113   238   294   217   303 0.86 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 81307at6656          -            284   1.4e-33  113.8   8.2   1   3   6.3e-10   1.4e-08   31.8   0.0    45   211    66   235    54   269 0.84 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 81307at6656          -            284   1.4e-33  113.8   8.2   2   3   8.3e-08   1.8e-06   24.8   0.2    45   202   304   463   294   478 0.76 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 81307at6656          -            284   1.4e-33  113.8   8.2   3   3   1.9e-18   4.3e-17   59.7   2.0    24   179   469   621   460   687 0.85 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 81307at6656          -            284   4.3e-33  112.2   4.7   1   3   4.3e-20   9.5e-19   65.2   0.7    30   194   152   315   147   316 0.88 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 81307at6656          -            284   4.3e-33  112.2   4.7   2   3   6.1e-14   1.4e-12   45.0   0.1    37   198   243   401   235   413 0.85 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 81307at6656          -            284   4.3e-33  112.2   4.7   3   3     1e-05   0.00023   18.0   0.0   169   210   420   463   415   467 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 81307at6656          -            284   6.6e-33  111.6  10.9   1   4   1.9e-08   4.3e-07   26.9   0.2   161   197     8    44     2    50 0.90 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 81307at6656          -            284   6.6e-33  111.6  10.9   2   4   3.1e-17   6.9e-16   55.8   0.5    78   196    51   163    51   170 0.89 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 81307at6656          -            284   6.6e-33  111.6  10.9   3   4    0.0011     0.025   11.3   0.1   162   197   169   204   162   213 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 81307at6656          -            284   6.6e-33  111.6  10.9   4   4   1.3e-05    0.0003   17.6   0.1   166   195   216   245   206   246 0.91 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 81307at6656          -            284     9e-31  104.6   0.1   1   3     9e-11     2e-09   34.6   0.2    35   152    64   187    51   190 0.84 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 81307at6656          -            284     9e-31  104.6   0.1   2   3   1.8e-13   3.9e-12   43.5   0.0     5   126   160   286   156   297 0.86 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 81307at6656          -            284     9e-31  104.6   0.1   3   3   2.9e-09   6.3e-08   29.6   0.0    51   111   298   357   277   359 0.86 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 81307at6656          -            284     9e-31  104.6   0.1   1   2   1.4e-23   3.1e-22   76.6   0.1     1   200    51   257    51   267 0.84 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 81307at6656          -            284     9e-31  104.6   0.1   2   2   4.3e-08   9.5e-07   25.8   0.0    41   112   275   345   259   346 0.81 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 81307at6656          -            284   1.1e-29  101.1   9.6   1   1   3.2e-30   7.1e-29   98.4   8.0    36   205    12   180     7   191 0.90 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 81307at6656          -            284     6e-28   95.3   1.7   1   3   5.2e-08   1.2e-06   25.5   0.1    38   101     2    65     1    69 0.92 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 81307at6656          -            284     6e-28   95.3   1.7   2   3   1.2e-07   2.6e-06   24.4   0.0    35   110    85   158    81   175 0.82 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 81307at6656          -            284     6e-28   95.3   1.7   3   3   2.5e-13   5.5e-12   43.0   0.1    16   150   223   365   215   367 0.81 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 81307at6656          -            284   3.6e-27   92.8   3.9   1   3   1.5e-11   3.3e-10   37.1   1.0    78   195    36   157    33   163 0.87 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 81307at6656          -            284   3.6e-27   92.8   3.9   2   3   2.1e-09   4.7e-08   30.1   0.0    38   118   169   250   162   257 0.84 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 81307at6656          -            284   3.6e-27   92.8   3.9   3   3   3.7e-08   8.2e-07   26.0   0.0    24   110   247   328   245   329 0.87 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 81307at6656          -            284   1.3e-26   90.9   1.5   1   2   1.3e-18   2.8e-17   60.3   0.7    80   197     2   123     1   126 0.87 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 81307at6656          -            284   1.3e-26   90.9   1.5   2   2   3.4e-11   7.6e-10   35.9   0.0    35   113    86   165    82   168 0.88 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 81307at6656          -            284   1.8e-26   90.5   1.4   1   3         1        22    1.6   0.0   175   204   219   248   206   273 0.79 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 81307at6656          -            284   1.8e-26   90.5   1.4   2   3   3.4e-17   7.4e-16   55.7   0.1     1   115   310   430   310   439 0.85 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 81307at6656          -            284   1.8e-26   90.5   1.4   3   3   3.3e-07   7.3e-06   22.9   0.2    38   104   438   517   432   519 0.62 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 81307at6656          -            284   4.3e-26   89.3   4.8   1   2   1.1e-20   2.4e-19   67.1   3.1    41   255     1   207     1   215 0.78 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 81307at6656          -            284   4.3e-26   89.3   4.8   2   2   4.9e-06   0.00011   19.0   0.0    40   111   216   286   206   287 0.92 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 81307at6656          -            284   3.6e-25   86.2   4.2   1   5   0.00017    0.0039   13.9   0.0    35   117     4    88     1   107 0.86 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 81307at6656          -            284   3.6e-25   86.2   4.2   2   5    0.0029     0.065    9.9   0.0    56   113   175   237   165   280 0.66 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 81307at6656          -            284   3.6e-25   86.2   4.2   3   5      0.38       8.4    3.0   0.0    78   113   281   327   277   334 0.70 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 81307at6656          -            284   3.6e-25   86.2   4.2   4   5   4.3e-06   9.6e-05   19.2   0.0    47   107   357   418   329   430 0.89 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 81307at6656          -            284   3.6e-25   86.2   4.2   5   5   2.1e-10   4.7e-09   33.4   3.5    76   198   558   695   547   719 0.81 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 81307at6656          -            284   4.5e-25   85.9  18.3   1   2   1.3e-14   2.8e-13   47.2   6.1   140   281    28   169    27   172 0.80 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 81307at6656          -            284   4.5e-25   85.9  18.3   2   2   1.1e-12   2.5e-11   40.8   3.9    53   164   178   299   167   306 0.73 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 81307at6656          -            284   4.3e-24   82.7  10.5   1   2   1.9e-07   4.3e-06   23.6   0.1    34   113    30   108     3   115 0.81 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 81307at6656          -            284   4.3e-24   82.7  10.5   2   2   2.2e-19   4.8e-18   62.8   7.8     8   190    81   269    80   269 0.86 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 81307at6656          -            284   5.9e-24   82.2   2.0   1   2   2.1e-13   4.6e-12   43.2   0.2     3   112     3   118     1   121 0.57 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 81307at6656          -            284   5.9e-24   82.2   2.0   2   2   4.4e-12   9.7e-11   38.9   0.1    35   112   164   242   157   242 0.92 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 81307at6656          -            284     2e-23   80.5   2.5   1   6   9.2e-05     0.002   14.9   0.0    22   107    77   169    62   173 0.76 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 81307at6656          -            284     2e-23   80.5   2.5   2   6     0.019      0.41    7.3   0.1    46   114   151   220   130   225 0.84 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 81307at6656          -            284     2e-23   80.5   2.5   3   6      0.63        14    2.3   0.0   213   271   297   356   278   357 0.80 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 81307at6656          -            284     2e-23   80.5   2.5   4   6   3.5e-08   7.7e-07   26.1   0.1    40   118   346   424   339   431 0.88 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 81307at6656          -            284     2e-23   80.5   2.5   5   6     4e-09   8.9e-08   29.2   0.0    37   196   428   590   422   602 0.84 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 81307at6656          -            284     2e-23   80.5   2.5   6   6      0.83        18    1.9   0.0    88   120   628   660   613   678 0.80 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 81307at6656          -            284   4.5e-23   79.4   0.8   1   2     4e-22   8.8e-21   71.8   0.7    43   262   217   441   205   465 0.83 -
