#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 118807at6656         -            237   3.6e-97  323.7   5.5   1   1   4.5e-98   7.7e-97  322.6   5.5     1   237     9   277     9   277 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
