#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+  -           1081 56573at33208         -            932         0 1411.1   5.9   1   1         0         0 1410.8   5.9     1   919     7  1045     7  1068 0.90 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 56573at33208         -            932   1.7e-30  103.2   4.0   1   2   5.7e-08   3.2e-05   19.5   0.0    34   204    42   239    30   256 0.64 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 56573at33208         -            932   1.7e-30  103.2   4.0   2   2   3.8e-26   2.1e-23   79.7   1.5   291   819   307   883   277   883 0.75 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 56573at33208         -            932   5.4e-17   58.5   2.0   1   3     0.085        47   -0.9   0.0    30   114    45   128    25   141 0.74 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 56573at33208         -            932   5.4e-17   58.5   2.0   2   3   0.00049      0.27    6.5   0.5   288   407   122   246   115   253 0.67 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 56573at33208         -            932   5.4e-17   58.5   2.0   3   3   2.5e-17   1.4e-14   50.5   0.0   268   458   371   561   348   588 0.73 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i2:76-2178|+    -            701 56573at33208         -            932   5.7e-08   28.6   1.6   1   3      0.14        77   -1.6   0.1     5    27   200   222   150   282 0.52 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i2:76-2178|+    -            701 56573at33208         -            932   5.7e-08   28.6   1.6   2   3   1.2e-08   6.5e-06   21.8   0.0   284   391   369   481   325   487 0.82 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i2:76-2178|+    -            701 56573at33208         -            932   5.7e-08   28.6   1.6   3   3    0.0013      0.73    5.1   0.1   351   467   544   666   518   701 0.70 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 56573at33208         -            932   1.3e-07   27.4   0.0   1   3   0.00067      0.37    6.0   0.0   786   840    48   101     8   118 0.87 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 56573at33208         -            932   1.3e-07   27.4   0.0   2   3   2.3e-06    0.0013   14.2   0.0   292   391   155   256   132   323 0.79 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 56573at33208         -            932   1.3e-07   27.4   0.0   3   3     0.013       7.3    1.8   0.0   357   415   416   475   394   513 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/56573at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/56573at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/56573at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:26 2026
# [ok]
