#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
67583at6656_218467_0:000a5f|TRINITY_DN89292_c10_g1_i1:1-528|+    -            176 67583at6656          -            261   2.5e-56  188.1   0.0   1   1   2.3e-58   3.4e-56  187.6   0.0   109   259     1   176     1   176 0.90 -
67583at6656_407821_0:001703|TRINITY_DN89292_c10_g1_i2:245-721|+  -            159 67583at6656          -            261   2.1e-48  162.1   0.0   1   1   1.9e-50   2.9e-48  161.6   0.0   127   259     2   159     1   159 0.88 -
67583at6656_211228_0:0021a9|TRINITY_DN93531_c8_g1_i6:1159-2344|- -            304 67583at6656          -            261   5.8e-47  157.4   0.0   1   1   5.7e-49   8.6e-47  156.8   0.0     4   239    16   284    13   292 0.85 -
67583at6656_211228_0:0021a9|TRINITY_DN93531_c8_g1_i7:1159-2320|- -            304 67583at6656          -            261     6e-47  157.3   0.0   1   1   5.8e-49   8.8e-47  156.8   0.0     4   239    16   284    13   292 0.85 -
67583at6656_13164_0:0030e1|TRINITY_DN93531_c8_g1_i2:1195-2019|-  -            275 67583at6656          -            261   1.3e-46  156.2   0.1   1   1   1.2e-48   1.8e-46  155.7   0.1     7   239     2   267     1   272 0.85 -
67583at6656_13164_0:0030e1|TRINITY_DN71761_c6_g1_i1:166-1182|+   -            339 67583at6656          -            261   3.3e-39  132.0   0.0   1   2     1e-39   1.5e-37  126.5   0.0     8   204    25   244    19   273 0.85 -
67583at6656_13164_0:0030e1|TRINITY_DN71761_c6_g1_i1:166-1182|+   -            339 67583at6656          -            261   3.3e-39  132.0   0.0   2   2     0.034       5.3    3.5   0.0   221   243   288   310   265   326 0.69 -
67583at6656_13164_0:0030e1|TRINITY_DN71761_c6_g1_i2:280-1296|+   -            339 67583at6656          -            261   3.3e-39  132.0   0.0   1   2     1e-39   1.5e-37  126.5   0.0     8   204    25   244    19   273 0.85 -
67583at6656_13164_0:0030e1|TRINITY_DN71761_c6_g1_i2:280-1296|+   -            339 67583at6656          -            261   3.3e-39  132.0   0.0   2   2     0.034       5.3    3.5   0.0   221   243   288   310   265   326 0.69 -
67583at6656_13164_0:0030e1|TRINITY_DN93531_c8_g1_i3:1195-1797|-  -            201 67583at6656          -            261   1.4e-38  129.9   0.0   1   1   1.4e-40   2.1e-38  129.3   0.0    78   239    11   193     2   198 0.87 -
67583at6656_13164_0:0030e1|TRINITY_DN93531_c8_g1_i1:1195-2071|-  -            195 67583at6656          -            261   9.9e-38  127.1   0.0   1   1   8.3e-40   1.3e-37  126.8   0.0    78   239    11   187     2   192 0.89 -
67583at6656_13164_0:0030e1|TRINITY_DN93531_c8_g1_i5:1195-2047|-  -            195 67583at6656          -            261   1.7e-37  126.3   0.0   1   1   1.4e-39   2.2e-37  126.0   0.0    78   239    11   187     2   192 0.89 -
67583at6656_441921_0:00083d|TRINITY_DN93531_c8_g1_i4:1159-1671|- -            171 67583at6656          -            261     6e-30  101.6   0.0   1   1   5.5e-32   8.3e-30  101.1   0.0   107   239     2   151     1   160 0.86 -
67583at6656_113334_0:003b91|TRINITY_DN89292_c10_g3_i2:0-200|-    -             67 67583at6656          -            261   3.4e-22   76.2   0.2   1   1   2.4e-24   3.7e-22   76.1   0.2    59   116     1    67     1    67 0.87 -
67583at6656_1049336_0:002e67|TRINITY_DN93404_c16_g1_i4:0-311|-   -            104 67583at6656          -            261   5.3e-08   29.7   0.0   1   2   1.3e-09   1.9e-07   27.8   0.0     9    43    18    60    13    82 0.83 -
67583at6656_1049336_0:002e67|TRINITY_DN93404_c16_g1_i4:0-311|-   -            104 67583at6656          -            261   5.3e-08   29.7   0.0   2   2      0.66     1e+02   -0.7   0.0    48    59    93   104    86   104 0.86 -
67583at6656_6958_0:001ef9|TRINITY_DN93404_c16_g1_i1:0-236|-      -             79 67583at6656          -            261   6.8e-05   19.5   0.8   1   2   1.3e-06    0.0002   17.9   0.1    17    43     1    35     1    57 0.81 -
67583at6656_6958_0:001ef9|TRINITY_DN93404_c16_g1_i1:0-236|-      -             79 67583at6656          -            261   6.8e-05   19.5   0.8   2   2      0.43        66   -0.1   0.0    48    59    68    79    60    79 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/67583at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/67583at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/67583at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:45 2026
# [ok]
