#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 50493at6656          -            547  1.5e-125  419.1   0.0   1   1  2.6e-127  1.9e-125  418.8   0.0   161   340     1   180     1   183 0.99 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i1:1564-3891|+     -            776 50493at6656          -            547   1.9e-27   95.3   0.0   1   1   2.6e-29   1.9e-27   95.3   0.0   242   342     2   100     1   138 0.94 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i2:1407-3734|+     -            776 50493at6656          -            547   1.9e-27   95.3   0.0   1   1   2.6e-29   1.9e-27   95.3   0.0   242   342     2   100     1   138 0.94 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i3:575-2902|+      -            776 50493at6656          -            547   1.9e-27   95.3   0.0   1   1   2.6e-29   1.9e-27   95.3   0.0   242   342     2   100     1   138 0.94 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i4:1536-3863|+     -            776 50493at6656          -            547   1.9e-27   95.3   0.0   1   1   2.6e-29   1.9e-27   95.3   0.0   242   342     2   100     1   138 0.94 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i5:1435-3762|+     -            776 50493at6656          -            547   1.9e-27   95.3   0.0   1   1   2.6e-29   1.9e-27   95.3   0.0   242   342     2   100     1   138 0.94 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i10:1618-2136|-    -            173 50493at6656          -            547   5.8e-16   57.4   0.0   1   2     2e-07   1.4e-05   23.1   0.0   187   263     2    79     1    82 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i10:1618-2136|-    -            173 50493at6656          -            547   5.8e-16   57.4   0.0   2   2   2.6e-10   1.9e-08   32.7   0.0   258   328    99   170    90   173 0.92 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i14:486-1004|-     -            173 50493at6656          -            547   5.8e-16   57.4   0.0   1   2     2e-07   1.4e-05   23.1   0.0   187   263     2    79     1    82 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i14:486-1004|-     -            173 50493at6656          -            547   5.8e-16   57.4   0.0   2   2   2.6e-10   1.9e-08   32.7   0.0   258   328    99   170    90   173 0.92 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 50493at6656          -            547   5.8e-16   57.4   0.0   1   2     2e-07   1.4e-05   23.1   0.0   187   263     2    79     1    82 0.90 -
