#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 43728at6656          -            431  2.4e-194  645.4  13.9   1   1  9.2e-194  1.7e-192  639.3  13.9     3   431    45   550    43   550 0.89 -
43728at6656_136037_0:001466|TRINITY_DN72062_c12_g1_i4:406-1935|+   -            510 43728at6656          -            431  2.5e-194  645.3  13.6   1   1    1e-193  1.9e-192  639.1  13.6     4   431     1   505     1   505 0.89 -
43728at6656_294128_0:00386a|TRINITY_DN72062_c12_g1_i2:106-1359|+   -            418 43728at6656          -            431   8.1e-98  327.3  10.0   1   1   4.2e-97   7.8e-96  320.8  10.0     3   260   100   418    98   418 0.86 -
43728at6656_294128_0:00386a|TRINITY_DN72062_c12_g1_i5:106-1490|+   -            417 43728at6656          -            431   2.8e-95  318.9   9.4   1   1   1.5e-94   2.7e-93  312.4   9.4     3   260   100   417    98   417 0.86 -
43728at6656_407821_0:0038a3|TRINITY_DN72062_c12_g1_i1:25-642|+     -            206 43728at6656          -            431   3.5e-90  302.2   1.0   1   1   2.2e-91     4e-90  302.0   1.0   261   431     1   187     1   187 0.95 -
43728at6656_29031_0:000203|TRINITY_DN72062_c12_g1_i7:379-1005|+    -            209 43728at6656          -            431   4.3e-60  203.0   2.0   1   1   2.7e-61     5e-60  202.8   2.0     3   158     9   185     7   206 0.87 -
43728at6656_29031_0:000203|TRINITY_DN72062_c12_g1_i6:582-1136|+    -            185 43728at6656          -            431   2.8e-51  174.0   2.0   1   1   1.7e-52   3.2e-51  173.8   2.0    19   158     1   161     1   182 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   1   7   1.9e-07   3.4e-06   25.4   0.0   169   210    96   137    89   146 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   2   7   6.2e-05    0.0012   17.1   0.2   172   216   141   187   135   198 0.78 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   3   7     0.041      0.76    7.8   0.1   396   430   182   222   175   223 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   4   7     3e-05   0.00056   18.1   0.1   374   430   209   263   199   265 0.93 -
