#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 143626at6656         -             90   4.3e-60  199.1   0.4   1   1   5.9e-62     5e-60  198.9   0.4     1    90    10    99    10    99 0.99 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90   6.8e-18   63.9   0.1   1   5     0.015       1.2    8.5   0.1    11    70     4    64     2    77 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90   6.8e-18   63.9   0.1   2   5   0.00072     0.061   12.7   0.0    11    75   349   416   342   424 0.74 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90   6.8e-18   63.9   0.1   3   5    0.0023      0.19   11.1   0.0     8    38   528   558   524   585 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90   6.8e-18   63.9   0.1   4   5     0.076       6.4    6.2   0.0     5    63   642   701   639   709 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90   6.8e-18   63.9   0.1   5   5   2.2e-05    0.0018   17.6   0.0    11    68   745   805   739   826 0.81 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 143626at6656         -             90   7.6e-18   63.7   0.1   1   5     0.015       1.3    8.5   0.1    11    70     4    64     2    77 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 143626at6656         -             90   7.6e-18   63.7   0.1   2   5   0.00074     0.062   12.7   0.0    11    75   349   416   342   424 0.74 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 143626at6656         -             90   7.6e-18   63.7   0.1   3   5    0.0024       0.2   11.1   0.0     8    38   528   558   524   585 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 143626at6656         -             90   7.6e-18   63.7   0.1   4   5     0.077       6.5    6.2   0.0     5    63   642   701   639   709 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 143626at6656         -             90   7.6e-18   63.7   0.1   5   5   2.2e-05    0.0019   17.6   0.0    11    68   745   805   739   826 0.81 -
143626at6656_1049336_0:001332|TRINITY_DN78468_c9_g1_i1:43-207|-     -             55 143626at6656         -             90   1.2e-14   53.5   0.8   1   1   2.1e-16   1.8e-14   52.9   0.8    60    90     1    31     1    31 0.97 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   2.3e-11   42.9   0.1   1   4    0.0086      0.73    9.3   0.0    13    69     7    65     3    81 0.79 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   2.3e-11   42.9   0.1   2   4     0.015       1.2    8.5   0.0    11    63   130   184   124   197 0.81 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   2.3e-11   42.9   0.1   3   4   2.5e-05    0.0021   17.4   0.0     8    77   348   426   344   435 0.73 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   2.3e-11   42.9   0.1   4   4         2   1.7e+02    1.7   0.0    11    32   504   525   499   538 0.87 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   1   3    0.0056      0.47    9.9   0.0     9    32     4    27     1    41 0.86 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   2   3   0.00019     0.016   14.6   0.0     9    79   123   196   116   204 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   3   3   0.00027     0.023   14.1   0.0    27    88   260   326   248   328 0.75 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   1   3    0.0056      0.47    9.9   0.0     9    32     4    27     1    41 0.86 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   2   3   0.00019     0.016   14.6   0.0     9    79   123   196   116   204 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   3   3   0.00027     0.023   14.1   0.0    27    88   260   326   248   328 0.75 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   1   3    0.0056      0.47    9.9   0.0     9    32     4    27     1    41 0.86 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   2   3   0.00019     0.016   14.6   0.0     9    79   123   196   116   204 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 143626at6656         -             90   3.8e-11   42.2   0.0   3   3   0.00027     0.023   14.1   0.0    27    88   260   326   248   328 0.75 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 143626at6656         -             90   1.3e-10   40.6   0.0   1   3     0.099       8.3    5.9   0.0    13    54     3    47     1    64 0.66 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 143626at6656         -             90   1.3e-10   40.6   0.0   2   3    0.0018      0.15   11.4   0.0     8    86    85   168    80   174 0.81 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 143626at6656         -             90   1.3e-10   40.6   0.0   3   3   8.3e-06    0.0007   18.9   0.0    11    81   366   439   361   444 0.80 -
80689at6656_6850_0:000ee2|TRINITY_DN84616_c7_g1_i1:526-1491|+       -            322 143626at6656         -             90   3.6e-10   39.1   0.0   1   2    0.0055      0.46    9.9   0.0    23    58    16    51     2    79 0.82 -
80689at6656_6850_0:000ee2|TRINITY_DN84616_c7_g1_i1:526-1491|+       -            322 143626at6656         -             90   3.6e-10   39.1   0.0   2   2   2.8e-08   2.4e-06   26.9   0.0    11    79    99   170    96   178 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 143626at6656         -             90   6.9e-10   38.2   0.1   1   3     0.011      0.92    8.9   0.1    11    70     4    64     2    77 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 143626at6656         -             90   6.9e-10   38.2   0.1   2   3   0.00053     0.045   13.1   0.0    11    76   349   417   342   424 0.74 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 143626at6656         -             90   6.9e-10   38.2   0.1   3   3    0.0017      0.15   11.5   0.0     8    38   528   558   524   585 0.86 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 143626at6656         -             90   1.9e-09   36.8   0.0   1   2   4.9e-06   0.00041   19.7   0.0     4    60     5    64     3    81 0.83 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 143626at6656         -             90   1.9e-09   36.8   0.0   2   2   0.00011    0.0097   15.3   0.0    11    64   103   159    96   164 0.75 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i1:345-602|-      -             86 143626at6656         -             90   2.4e-09   36.5   0.0   1   1   3.3e-11   2.8e-09   36.2   0.0    10    83     3    79     1    85 0.82 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i2:345-602|-      -             86 143626at6656         -             90   2.4e-09   36.5   0.0   1   1   3.3e-11   2.8e-09   36.2   0.0    10    83     3    79     1    85 0.82 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i1:561-851|-      -             97 143626at6656         -             90   1.4e-08   34.0   0.0   1   1   2.1e-10   1.8e-08   33.7   0.0     5    82     3    83     2    89 0.87 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i3:550-840|-      -             97 143626at6656         -             90   1.4e-08   34.0   0.0   1   1   2.1e-10   1.8e-08   33.7   0.0     5    82     3    83     2    89 0.87 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i10:115-648|-     -            178 143626at6656         -             90   2.6e-08   33.1   0.0   1   2   3.5e-05     0.003   16.9   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i10:115-648|-     -            178 143626at6656         -             90   2.6e-08   33.1   0.0   2   2   0.00019     0.016   14.6   0.0    10    65    94   152    83   158 0.80 -
