#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 126074at6656         -            265   1.4e-69  233.3   0.2   1   1   4.6e-69   1.1e-67  227.1   0.1    12   250    10   296     4   313 0.85 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 126074at6656         -            265   5.2e-24   83.9   0.0   1   4      0.11       2.5    6.3   0.0    33    62    52    82    47    86 0.81 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 126074at6656         -            265   5.2e-24   83.9   0.0   2   4   2.2e-07   5.3e-06   24.9   0.0    25    74    86   136    80   139 0.88 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 126074at6656         -            265   5.2e-24   83.9   0.0   3   4   1.6e-05   0.00037   18.8   0.0    38   109   141   215   135   215 0.66 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 126074at6656         -            265   5.2e-24   83.9   0.0   4   4   1.1e-05   0.00025   19.4   0.0    14   106   190   296   188   298 0.70 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 126074at6656         -            265   1.8e-22   78.9   0.1   1   5     0.071       1.7    6.9   0.0   220   246     6    33     1    36 0.53 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 126074at6656         -            265   1.8e-22   78.9   0.1   2   5     0.082       1.9    6.6   0.0    33    62    38    68    33    72 0.81 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 126074at6656         -            265   1.8e-22   78.9   0.1   3   5   1.6e-07   3.8e-06   25.3   0.0    25    74    72   122    66   125 0.88 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 126074at6656         -            265   1.8e-22   78.9   0.1   4   5   4.6e-05    0.0011   17.3   0.0    38    72   127   162   123   169 0.85 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 126074at6656         -            265   1.8e-22   78.9   0.1   5   5   4.7e-05    0.0011   17.3   0.0    39   108   170   242   161   243 0.83 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 126074at6656         -            265   9.6e-17   60.1   2.2   1   3   0.00032    0.0076   14.5   0.0   152   244    25   122    20   129 0.64 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 126074at6656         -            265   9.6e-17   60.1   2.2   2   3   2.8e-08   6.7e-07   27.8   0.1    33   110   129   205   124   214 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 126074at6656         -            265   9.6e-17   60.1   2.2   3   3   9.1e-05    0.0021   16.3   0.0    72   108   211   246   203   246 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
