#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+     -            358 55417at6656          -            496  1.1e-113  379.7  13.7   1   1  1.5e-114  2.4e-112  375.2  13.7   197   495     4   353     2   354 0.86 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+     -            357 55417at6656          -            496  1.5e-113  379.2  13.7   1   1  2.4e-114  3.8e-112  374.6  13.7   197   495     6   356     2   357 0.86 -
55417at6656_218467_0:002d86|TRINITY_DN82157_c12_g1_i1:406-1500|-   -            365 55417at6656          -            496   1.3e-56  191.4  17.3   1   3   1.5e-42   2.3e-40  137.8   2.1     1   115    33   174    33   196 0.84 -
55417at6656_218467_0:002d86|TRINITY_DN82157_c12_g1_i1:406-1500|-   -            365 55417at6656          -            496   1.3e-56  191.4  17.3   2   3   1.8e-07   2.9e-05   22.1   0.5   101   138   191   228   183   243 0.79 -
55417at6656_218467_0:002d86|TRINITY_DN82157_c12_g1_i1:406-1500|-   -            365 55417at6656          -            496   1.3e-56  191.4  17.3   3   3   6.3e-13     1e-10   40.1   2.9   130   212   263   355   252   358 0.75 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   1   4   2.5e-15     4e-13   48.0   0.1   331   416     3    89     1    93 0.80 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   2   4     2e-09   3.2e-07   28.5   0.1   292   332   100   140    87   141 0.71 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   3   4   1.3e-17     2e-15   55.5   0.7   294   367   136   209   134   209 0.98 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   4   4   2.9e-15   4.7e-13   47.8   0.1   293   363   203   273   202   274 0.98 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   1   4   2.5e-15     4e-13   48.0   0.1   331   416     3    89     1    93 0.80 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   2   4     2e-09   3.2e-07   28.5   0.1   292   332   100   140    87   141 0.71 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   3   4   1.3e-17     2e-15   55.5   0.7   294   367   136   209   134   209 0.98 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   4   4   2.9e-15   4.7e-13   47.8   0.1   293   363   203   273   202   274 0.98 -
