#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 581717at33208        -            249     1e-63  212.2   0.4   1   1   3.1e-63     1e-61  205.7   0.4    33   232    81   315    35   316 0.79 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   1.4e-15   54.6   5.0   1   6    0.0042      0.14    8.7   0.0   175   215    10    50     6    55 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   1.4e-15   54.6   5.0   2   6     0.015      0.51    6.9   0.0   177   210    54    87    48    92 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   1.4e-15   54.6   5.0   3   6      0.05       1.7    5.2   0.0   170   213    89   132    84   143 0.86 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   1.4e-15   54.6   5.0   4   6    0.0028     0.094    9.3   0.1   181   213   142   174   132   177 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   1.4e-15   54.6   5.0   5   6   2.7e-06   8.9e-05   19.2   0.0   173   221   176   224   173   228 0.92 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   1.4e-15   54.6   5.0   6   6      0.14       4.7    3.7   0.0   155   203   240   290   227   292 0.82 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249     1e-14   51.7   0.0   1   4    0.0014     0.047   10.3   0.0   171   210     3    43     2    46 0.92 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249     1e-14   51.7   0.0   2   4   9.8e-08   3.3e-06   23.9   0.0   169   239    45   116    41   118 0.94 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249     1e-14   51.7   0.0   3   4   3.1e-05     0.001   15.7   0.0   155   212   115   174   114   189 0.89 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249     1e-14   51.7   0.0   4   4       8.7   2.9e+02   -2.2   0.0   187   204   201   219   185   227 0.64 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   3.5e-13   46.7   4.0   1   5    0.0015     0.051   10.2   0.0   155   210    79   135    63   141 0.87 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   3.5e-13   46.7   4.0   2   5    0.0013     0.042   10.4   0.1   176   215   143   182   128   203 0.88 -
