#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 361203at33208        -            388    3e-123  408.8   5.5   1   1    3e-124  7.1e-123  407.6   5.5    24   388     1   424     1   424 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 361203at33208        -            388   1.9e-24   83.6   1.9   1   5   3.3e-09   7.6e-08   28.9   0.1   242   308     1    71     1    79 0.80 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 361203at33208        -            388   1.9e-24   83.6   1.9   2   5   8.6e-05     0.002   14.4   0.0    59    97    76   113    70   116 0.74 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 361203at33208        -            388   1.9e-24   83.6   1.9   3   5    0.0052      0.12    8.5   0.0    60    97   119   155   115   163 0.72 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 361203at33208        -            388   1.9e-24   83.6   1.9   4   5   1.3e-05   0.00031   17.1   0.0   242   312   170   247   161   251 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 361203at33208        -            388   1.9e-24   83.6   1.9   5   5   0.00035    0.0081   12.4   0.0    55    95   244   285   241   287 0.85 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 361203at33208        -            388   6.2e-24   81.9   0.4   1   3   4.8e-06   0.00011   18.5   0.0   238   272    14    48     7    54 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 361203at33208        -            388   6.2e-24   81.9   0.4   2   3   4.4e-10     1e-08   31.8   0.3   237   309    55   131    43   136 0.80 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 361203at33208        -            388   6.2e-24   81.9   0.4   3   3   2.6e-08   6.1e-07   26.0   0.0   162   299   145   289   139   292 0.80 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 361203at33208        -            388   8.4e-23   78.2   0.9   1   4      0.19       4.4    3.4   0.0   265   309    48    94    26   102 0.70 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 361203at33208        -            388   8.4e-23   78.2   0.9   2   4   3.8e-12     9e-11   38.6   0.0   200   314   155   275   151   287 0.84 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 361203at33208        -            388   8.4e-23   78.2   0.9   3   4     0.012      0.28    7.3   0.1    62    98   321   356   316   407 0.78 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 361203at33208        -            388   8.4e-23   78.2   0.9   4   4   1.3e-07     3e-06   23.7   0.0   220   314   469   568   446   580 0.78 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 361203at33208        -            388     1e-16   58.1   6.2   1   5     0.011      0.26    7.4   0.0    62    95     4    36     1    49 0.51 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 361203at33208        -            388     1e-16   58.1   6.2   2   5   4.6e-06   0.00011   18.6   0.1   237   306    50   125    40   130 0.81 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 361203at33208        -            388     1e-16   58.1   6.2   3   5   5.4e-05    0.0013   15.0   0.1   231   306   133   214   128   229 0.80 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 361203at33208        -            388     1e-16   58.1   6.2   4   5      0.44        10    2.2   0.0   239   269   243   273   237   280 0.87 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 361203at33208        -            388     1e-16   58.1   6.2   5   5   0.00027    0.0063   12.8   0.1    63    96   292   325   280   327 0.92 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 361203at33208        -            388   5.5e-15   52.5   8.0   1   3   0.00063     0.015   11.5   0.0   230   307    90   171    87   182 0.80 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 361203at33208        -            388   5.5e-15   52.5   8.0   2   3    0.0022     0.052    9.7   0.0   245   308   147   214   134   226 0.80 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 361203at33208        -            388   5.5e-15   52.5   8.0   3   3   1.8e-11   4.3e-10   36.3   2.0   198   305   227   337   224   340 0.84 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 361203at33208        -            388   6.2e-15   52.3   9.1   1   5      0.11       2.6    4.1   0.0    78    95    19    36     3    41 0.51 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 361203at33208        -            388   6.2e-15   52.3   9.1   2   5    0.0001    0.0024   14.1   0.1    59   103    43    84    39    88 0.88 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 361203at33208        -            388   6.2e-15   52.3   9.1   3   5   2.7e-08   6.2e-07   25.9   0.1   235   311    85   161    80   181 0.80 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 361203at33208        -            388   6.2e-15   52.3   9.1   4   5      0.21       4.8    3.3   0.1    79    97   180   198   164   205 0.78 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 361203at33208        -            388   6.2e-15   52.3   9.1   5   5    0.0058      0.14    8.4   0.0    64    97   211   241   200   251 0.69 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 361203at33208        -            388   2.4e-14   50.4  10.0   1   4   0.00012    0.0027   13.9   0.2    56    96     3    43     1    49 0.92 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 361203at33208        -            388   2.4e-14   50.4  10.0   2   4   0.00055     0.013   11.7   0.0   232   268    49    85    44   110 0.88 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 361203at33208        -            388   2.4e-14   50.4  10.0   3   4   1.4e-06   3.2e-05   20.3   0.2   211   307   114   215   102   231 0.80 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 361203at33208        -            388   2.4e-14   50.4  10.0   4   4     0.035      0.81    5.8   1.0    70   110   236   283   214   303 0.60 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 361203at33208        -            388   4.9e-14   49.3   0.1   1   3       1.8        42    0.1   0.0    58    95    49    85    45    91 0.83 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 361203at33208        -            388   4.9e-14   49.3   0.1   2   3   1.3e-06   3.1e-05   20.4   0.0   237   312    95   175    68   188 0.76 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 361203at33208        -            388   4.9e-14   49.3   0.1   3   3   4.1e-08   9.6e-07   25.3   0.0   211   269   236   294   220   300 0.94 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 361203at33208        -            388   9.6e-14   48.4   7.3   1   5     0.022      0.52    6.4   0.1    81   115    18    59     4    66 0.72 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 361203at33208        -            388   9.6e-14   48.4   7.3   2   5    0.0002    0.0046   13.2   0.0   227   271    74   118    62   126 0.86 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 361203at33208        -            388   9.6e-14   48.4   7.3   3   5     0.038      0.89    5.7   0.0    62    95   125   159   122   162 0.88 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 361203at33208        -            388   9.6e-14   48.4   7.3   4   5     0.028      0.66    6.1   0.0   225   268   158   201   155   210 0.89 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 361203at33208        -            388   9.6e-14   48.4   7.3   5   5   1.2e-05   0.00028   17.2   1.5    62   140   212   287   209   288 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 361203at33208        -            388   1.3e-13   48.0   0.8   1   4      0.22       5.1    3.2   0.1    65    96     4    35     1    40 0.77 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 361203at33208        -            388   1.3e-13   48.0   0.8   2   4    0.0025     0.059    9.6   0.0    59    97    41    78    35    82 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 361203at33208        -            388   1.3e-13   48.0   0.8   3   4   0.00024    0.0056   12.9   0.0    58    98    82   121    78   135 0.86 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 361203at33208        -            388   1.3e-13   48.0   0.8   4   4   3.2e-06   7.4e-05   19.1   0.0   198   266   133   200   126   201 0.89 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 361203at33208        -            388   1.5e-13   47.7   0.0   1   4      0.19       4.3    3.4   0.0   235   268   136   169   117   180 0.64 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 361203at33208        -            388   1.5e-13   47.7   0.0   2   4    0.0015     0.034   10.3   0.0   242   309   198   268   192   278 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 361203at33208        -            388   1.5e-13   47.7   0.0   3   4     0.048       1.1    5.3   0.0   242   304   281   346   265   355 0.59 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 361203at33208        -            388   1.5e-13   47.7   0.0   4   4   2.1e-07     5e-06   22.9   0.1   205   269   362   425   348   460 0.81 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 361203at33208        -            388   4.5e-13   46.2   0.0   1   3    0.0018     0.041   10.1   0.1   225   269     6    50     1    67 0.89 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 361203at33208        -            388   4.5e-13   46.2   0.0   2   3   0.00031    0.0072   12.6   0.0   238   268   105   135    96   141 0.91 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 361203at33208        -            388   4.5e-13   46.2   0.0   3   3   2.9e-06   6.7e-05   19.2   0.0   220   320   174   281   153   296 0.78 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 361203at33208        -            388     1e-12   45.0   3.1   1   4    0.0015     0.034   10.3   0.0   284   311    11    38     8    45 0.86 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 361203at33208        -            388     1e-12   45.0   3.1   2   4    0.0084       0.2    7.8   0.1   218   268    25    75    25    80 0.91 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 361203at33208        -            388     1e-12   45.0   3.1   3   4   3.2e-05   0.00074   15.8   0.0    60    97    83   119    78   124 0.77 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 361203at33208        -            388     1e-12   45.0   3.1   4   4      0.88        21    1.2   0.0    66    91   187   211   180   212 0.46 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 361203at33208        -            388   1.1e-12   44.9   0.0   1   4    0.0081      0.19    7.9   0.0   243   308     1    74     1    82 0.72 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 361203at33208        -            388   1.1e-12   44.9   0.0   2   4     0.025       0.6    6.2   0.0   232   265    78   113    65   115 0.76 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 361203at33208        -            388   1.1e-12   44.9   0.0   3   4   4.8e-07   1.1e-05   21.8   0.0   225   316   115   212   111   214 0.84 -
